"time","time_orig","p_id","lon","lat","altitude","z","ta_int","UTM_x","UTM_y"
"2019-06-26 22:00:00",2019-06-26T21:55:59Z,5696,7.4853973388672,46.965031975102,555,558,NAN,384777.257401717,5202391.55573125
"2019-06-26 22:00:00",2019-06-26T21:59:49Z,5698,7.488175,46.952357,551,550,26.9,384961.39492172,5200978.99469378
"2019-06-26 22:00:00",NAN,5701,7.4906533996508,46.936091354808,559,560,NAN,385115.180128046,5199167.87765205
"2019-06-26 22:00:00",2019-06-26T22:00:15Z,5702,7.48816,46.93233,562,565,27.2,384917.337222718,5198753.56284366
"2019-06-26 22:00:00",2019-06-26T21:56:48Z,5703,7.485092,46.9321928,564,567,26.3,384683.507257133,5198742.82424209
"2019-06-26 22:00:00",2019-06-26T22:00:49Z,5706,7.557242,46.953711,606,594,24.8,390219.571763298,5201030.40933617
"2019-06-26 22:00:00",2019-06-26T21:59:47Z,5711,7.442062,46.949739,548,552,28.2,381446.814424268,5200756.78323499
"2019-06-26 22:00:00",2019-06-26T21:58:23Z,5716,7.425424,46.927443,602,601,25.2,380130.987690052,5198304.49591108
"2019-06-26 22:00:00",2019-06-26T21:58:46Z,5717,7.4250119259034,46.946971542952,546,546,26.6,380143.211138486,5200475.18377855
"2019-06-26 22:00:00",2019-06-26T21:56:49Z,5721,7.4128055,46.9274313,576,579,NAN,379170.358839832,5198322.56205784
"2019-06-26 22:00:00",2019-06-26T21:57:17Z,5722,7.464317,46.965701,554,556,NAN,383175.0622451,5202497.10889068
"2019-06-26 22:00:00",2019-06-26T22:00:34Z,5723,7.458184,46.960379,559,561,25.3,382696.875583375,5201914.87339013
"2019-06-26 22:00:00",NAN,5724,7.422554,46.926912,578,580,NAN,379911.317537798,5198249.8811888
"2019-06-26 22:00:00",NAN,5729,7.4498673000001,46.9693335,524,526,NAN,382083.824213905,5202922.40499111
"2019-06-26 22:00:00",2019-06-26T21:55:11Z,5730,7.457077,46.956149,564,567,28.7,382603.401686414,5201446.48113173
"2019-06-26 22:00:00",2019-06-26T21:54:05Z,5733,7.4129422999999,46.9427771,552,554,26.1,379215.290548622,5200027.61162321
"2019-06-26 22:00:00",2019-06-26T22:00:57Z,5734,7.465139,46.965974,554,555,25.5,383238.187898695,5202526.22043471
"2019-06-26 22:00:00",2019-06-26T21:58:00Z,5735,7.449509,46.957903,-999,555,28.2,382031.439359659,5201652.75356469
"2019-06-26 22:00:00",NAN,5736,7.45508,46.95902,563,563,NAN,382457.746719976,5201768.50781004
"2019-06-26 22:00:00",2019-06-26T21:53:27Z,5741,7.4701338164214,46.935716652072,549,550,25.7,383552.531757348,5199156.51037462
"2019-06-26 22:00:00",2019-06-26T22:00:15Z,5744,7.4702670342988,46.951753038549,578,578,25.7,383597.444059205,5200938.31815561
"2019-06-26 22:00:00",2019-06-26T21:59:05Z,5747,7.4226963999999,46.9738197,501,504,25.6,380027.046038085,5203462.16842989
"2019-06-26 22:00:00",2019-06-26T21:57:08Z,5752,7.4705357,46.9498279,574,574,26.7,383613.713298616,5200723.99249695
"2019-06-26 22:00:00",2019-06-26T21:53:55Z,5753,7.454155,46.958211,565,565,26.7,382385.597917018,5201679.99706904
"2019-06-26 22:00:00",2019-06-26T21:55:24Z,5755,7.469408,46.950107,566,581,27,383528.506663103,5200756.68180808
